signal_id,symbol,opened_at,closed_at,close_price,result,pnl_pct,rr_real,notes
ADAUSDT:20250810213714,ADAUSDT,2025-08-10T21:37:15.278587,2025-08-11T21:24:38.888534,0.7805,WIN,1.4893,2.7442,TP
AVAXUSDT:20250810213717,AVAXUSDT,2025-08-10T21:37:18.316331,2025-08-11T21:24:39.287830,23.154,WIN,1.765,3.4494,TP
BCHUSDT:20250810213718,BCHUSDT,2025-08-10T21:37:19.264265,2025-08-11T21:24:39.799555,581.6,LOSS,-2.5388,8.1823,SL
HBARUSDT:20250810213722,HBARUSDT,2025-08-10T21:37:22.655177,2025-08-11T21:24:40.378592,0.24757,WIN,3.0658,6.0231,TP
NEARUSDT:20250810213726,NEARUSDT,2025-08-10T21:37:26.579969,2025-08-11T21:24:40.843126,2.633,WIN,2.4092,4.2763,TP
ONDOUSDT:20250810213727,ONDOUSDT,2025-08-10T21:37:28.043383,2025-08-11T21:24:41.249810,1.0,WIN,1.1467,2.0351,TP
PUMPFUNUSDT:20250810213730,PUMPFUNUSDT,2025-08-10T21:37:31.145306,2025-08-11T21:24:41.749132,0.003496,LOSS,-12.7742,396000.0,SL
TRUMPUSDT:20250810213732,TRUMPUSDT,2025-08-10T21:37:32.681531,2025-08-11T21:24:42.190225,8.912,WIN,2.8241,5.0586,TP
XLMUSDT:20250810213736,XLMUSDT,2025-08-10T21:37:36.412054,2025-08-11T21:24:42.583879,0.434,WIN,1.2065,2.5238,TP
ADAUSDT:20250810215654,ADAUSDT,2025-08-10T21:56:55.115143,2025-08-11T21:24:43.130796,0.7806,WIN,2.0577,3.7273,TP
AVAXUSDT:20250810215657,AVAXUSDT,2025-08-10T21:56:58.066672,2025-08-11T21:24:43.657052,23.151,WIN,2.3618,4.5418,TP
BCHUSDT:20250810215658,BCHUSDT,2025-08-10T21:56:59.051689,2025-08-11T21:24:44.102547,581.9,LOSS,-2.1773,6.844,SL
HBARUSDT:20250810215703,HBARUSDT,2025-08-10T21:57:03.528107,2025-08-11T21:24:44.591780,0.24757,WIN,3.6693,6.7357,TP
NEARUSDT:20250810215707,NEARUSDT,2025-08-10T21:57:07.527651,2025-08-11T21:24:45.075306,2.633,WIN,3.2341,5.7516,TP
ONDOUSDT:20250810215708,ONDOUSDT,2025-08-10T21:57:08.554121,2025-08-11T21:24:45.527316,1.0,WIN,1.7392,3.1053,TP
PUMPFUNUSDT:20250810215711,PUMPFUNUSDT,2025-08-10T21:57:12.256113,2025-08-11T21:24:46.021051,0.0035,LOSS,-12.9032,400000.0,SL
TRUMPUSDT:20250810215713,TRUMPUSDT,2025-08-10T21:57:13.926816,2025-08-11T21:24:46.484102,8.913,WIN,3.3507,6.1431,TP
XLMUSDT:20250810215717,XLMUSDT,2025-08-10T21:57:17.510024,2025-08-11T21:24:46.922214,0.43416,WIN,1.796,3.781,TP
AAVEUSDT:20250810223743,AAVEUSDT,2025-08-10T22:37:43.686973,2025-08-11T21:24:47.308330,295.68,LOSS,-3.5144,7.6022,SL
